code,nom_voie,type_voie,arr
1,abbaye,rue de l',6
2,abbé-de-l'épée,rue de l',5
3,abbé-gillet,rue de l',16
4,abbé-grégoire,rue de l',6
5,abbé-groult,rue de l',15
6,abbé-patureau,rue de l',18
7,abbé-rousselot,rue de l',17
8,abbesses,passage des,18
9,abbesses,place des,18
10,abbesses,rue des,18
11,abbeville,rue d',9-10
12,abel,rue,12
13,abel-ferry,rue,16
14,abel-hovelacque,rue,13
15,abel-leblanc,passage,12
16,abel-rabaud,rue,11
17,abel-truchet,rue,17
18,aboukir,rue d',2
19,abreuvoir,rue de l',18
20,acacias,passage des,17
20 bis,acacias,rue des,17
21,achille,rue,20
22,achille-luchaire,rue,14
23,achille-martinet,rue,18
24,adjudant-reau,rue de l',20
25,adjudant-vincenot,pl. de l',20
26,adolphe-adam,rue,4
27,adolphe-chérioux,pl.,15
28,adolphe-focillon,rue,14
29,adolphe-jullien,rue,1
30,adolphe-max,place,9
31,adolphe-mille,rue,19
32,adolphe-pinard,boulevard,14
33,adolphe-yvon,rue,16
34,adour,villa de l',19
35,adrien-hébrard,avenue,16
36,adrien-oudin,place,9
37,adrienne,cité,20
37 bis,adrienne,villa,14
38,adrienne-lecouvreur,allée,7
39,adrienne-simon,villa,14
40,affre,rue,18
41,agar,rue,16
42,agent-bailly,rue de l',9
43,agrippa-d'aubigné,rue,4
44,aguesseau,rue d',8
45,aide-sociale,square de l',14
46,aimé-lavy,rue,18
47,aimé-maillart,pl.,17
48,aimé-morot,rue,13
49,aisne,rue de l',19
50,aix,rue d',10
51,alain-chartier,rue,15
52,alasseur,rue,15
53,albéric-magnard,rue,16
54,albert,rue,13
55,albert-bartholomé,avenue,15
56,albert-de-lapparent,rue,7
57,albert-malet,rue,12
58,albert-de-mun,avenue,16
59,albert-1er,cours,8
60,albert-1er-de-monaco,avenue,16
61,albert-samain,rue,17
62,albert-sorel,rue,14
63,albin-cachot,square,13
64,albin-haller,rue,13
65,alboni,rue de l',16
66,alboni,square de l',16
67,alembert,rue d',14
68,alencon,rue d',15
69,alésia,rue d',14
70,alésia,villa d',14
71,alexandre,passage,15
72,alexandre-cabanel,rue,15
73,alexandre-charpentier,rue,17
74,alexandre-dumas,impasse,20
75,alexandre-dumas,rue,11-20
75 bis,alexandre-de-humboldt,rue,14
76,alexandre-lecuyer,impasse,18
76 bis,alexandre-luquet,square,20
77,alexandre-parodi,rue,10
78,alexandre-ribot,villa,19
79,alexandre-iii,avenue,8
80,alexandrie,rue d',2
81,alexandrine,passage,11
82,alfred-bruneau,rue,16
83,alfred-capus,square,16
84,alfred-cornu,rue,5
85,alfred-dehodenco,rue,16
86,alfred-dehodencq,square,16
87,alfred-durand-claye,rue,14
88,alfred-fouillée,rue,13
89,alfred-roll,rue,17
90,alfred-stevens,passage,9
91,alfred-stevens,rue,9
92,alfred-de-vigny,rue,8-17
93,alger,rue d',1
94,algérie,boulevard d',19
95,alibert,rue,10
96,alice,square,14
97,aligre,place d',12
98,aligre,rue d',12
99,aliscamps,square des,16
100,allard,rue,12
101,verte,allée,11
102,allendy,avenue,15
103,allent,rue,7
104,alleray,hameau d',15
105,alleray,impasse d',15
106,alleray,place d',15
107,alleray,rue d',15
108,allier,quai de l',19
109,alma,cité de l',7
110,alma,place de l',8-16
110 bis,alombert,passage,3
111,alouettes,rue des,19
112,alpes,place des,13
113,alphand,avenue,16
114,alphand,rue,13
115,alphonse-aulard,rue,19
116,alphonse-bertillon,rue,15
117,alphonse-daudet,rue,14
118,alphonse-deville,pl.,6
119,alphonse-humbert,pl.,15
120,alphonse-karr,rue,19
121,alphonse-laveran,pl.,5
122,alphonse-de-neuville,rue,17
123,alphonse-penaud,rue,20
124,alphonse-xiii,avenue,16
125,alsace,rue d',10
125 bis,alsace,square d',18
126,alsace,villa d',19
126 bis,alsace-lorraine,cour d',12
127,alsace-lorraine,rue d',19
128,amalia,villa,19
129,amandiers,impasse des,20
130,amandiers,rue des,20
131,amboise,rue d',2
132,ambroise-paré,rue,10
133,ambroise-rendu,avenue,19
134,ambroise-thomas,rue,9
135,amélie,rue,7
136,amélie,villa,20
137,amelot,impasse,11
138,amelot,rue,11
138 bis,amérique-du-nord,rue de l',14
138 ter,amérique-latine,square de l',17
139,ameublement,cité de l',11
140,amiens,rue d',20
141,amiral-bruix,boulevard,16
142,amiral-cloué,rue de l',16
143,amiral-courbet,rue de l',16
144,amiral-d'estaing,rue de l',16
145,amiral-la-ronciere-le-noury,rue de l',12
146,amiral-mouchez,rue de l',13-15
147,amiral-roussin,rue de l',15
148,amiraux,rue des,18
149,amodion,rue de l',20
150,ampere,rue,17
151,amsterdam,impasse d',8
152,amsterdam,rue d',8-9
153,amyot,rue,5
154,anatole-de-la-forge,rue,17
155,anatole-france,quai,17
156,ancienne-comedie,rue de l',6
157,ancre,passage de l',3
158,andigné,rue d',16
159,andré-colledeboeuf,rue,16
160,andré-del-sarte,rue,18
161,andré-dubois,rue,19
162,andré-gill,rue,18
162 bis,andré-lefevre,sq.,5
163,andré-messager,rue,18
164,andre-pascal,rue,16
165,andré-rivoire,avenue,14
166,andre-theuriet,rue,15
167,andrieux,rue,8
168,androuet,rue,18
169,angélique-compoint,rue,18
170,angers,impasse d',18
171,anglais,impasse des,19
172,anglais,rue des,5
173,angouleme,cité d',11
174,anjou,quai d',4
175,anjou,rue d',8
176,anna-de-noailles,sq.,16
177,annam,rue d',20
178,annelets,passage des,19
179,annelets,rue des,19
180,annibal,cité,14
181,annonciation,rue de l',16
182,antin,cité d',9
183,antin,impasse d',8
184,antin,rue d',2
185,antoine-arnauld,rue,16
186,antoine-arnauld,sq.,16
187,antoine-bourdelle,rue,15
188,antoine-caréme,rue,1
189,antoine-chantin,rue,14
190,antoine-dubois,rue,6
191,antoine-leclaire,cour,20
192,antoine-roucher,rue,16
193,antoine-vollon,rue,12
194,antoinette,rue,18
195,antonin-mercier,rue,15
196,anvers,place d',9
197,apennins,rue des,17
198,aqueduc,rue de l',10
199,arago,boulevard,13-14
200,arago,square,13
201,arbalete,rue de l',5
202,arbre-sec,rue de l',1
203,arbustes,rue des,14
204,arcade,rue de l',8
205,arc-de-triomphe,rue de l',17
206,archereau,rue,19
207,archevéché,quai de l',4
208,archives,rue des,3-4
209,arcole,rue d',4
210,arcueil,rue d',14
211,ardennes,rue des,19
212,arenes,rue des,5
213,argenson,rue d',8
214,argenteuil,rue d',1
215,argentine,cité de l',16
216,argentine,rue d',16
217,argonne,place de l',19
218,argonne,rue de l',19
219,argout,rue d',2
220,arioste,rue de l',16
221,aristide-bruant,rue,18
222,armaille,rue d',17
223,armand,villa,18
