num_imm,type_voie_imm,nom_voie_imm,city
43,rue de,richelieu,Paris
2,rue,villedo,Paris
12,villa,cheysson,Paris
17,boulevard,berthier,Paris
829,boulevard,berthier,Paris
2,boulevard,berthier,Paris
2,rue des,chantiers,Paris
6,rue des,fossés-saint-bernard,Paris
1,rue,gros,Paris
3,rue,gros,Paris
43,rue,verniquet,Paris
2,avenue de,versailles,Paris
4,avenue de,versailles,Paris
7,rue de l',église,Paris
32,rue,gutenberg,Paris
78,rue de,javel,Paris
5,rue,lacordaire,Paris
22,rue,camille-desmoulins,Paris
117,boulevard de,sebastopol,Paris
7,rue d',auteuil,Paris
35,avenue,montaigne,Paris
51,rue d',amsterdam,Paris
53,rue d',amsterdam,Paris
30,rue de l',exposition,Paris
24,villa,félix-faure,Paris
17,boulevard de,grenelle,Paris
14,rue des,cendriers,Paris
18,rue,jean-robert,Paris
20,rue,jean-robert,Paris
9,rue,ordener,Paris
70,rue du,chateau,Paris
15,rue,la quitinie,Paris
8,rue d',hauteville,Paris
126,rue,la fayette,Paris
10,villa,duthy,Paris
14,avenue,kléber,Paris
117,avenue de,clichy,Paris
18,rue des,cloys,Paris
14,rue,guy-moquet,Paris
7,rue de,médicis,Paris
16,villa des,camélias,Paris
18,villa des,camélias,Paris
20,villa des,camélias,Paris
21,rue,vernier,Paris
23,rue,vernier,Paris
25,rue,vernier,Paris
31,rue des,tournelles,Paris
78,rue,blanche,Paris
12,rue,léopold-bellan,Paris
37,rue du,moulin-de-la-vierge,Paris
133,rue,vercingétorix,Paris
10,rue,ballu,Paris
10,rue,ballu,Paris
53,boulevard,garibaldi,Paris
55,boulevard,garibaldi,Paris
166,avenue de,suffren,Paris
14,rue,duphot,Paris
14,rue,ballu,Paris
17,rue,ramus,Paris
19,rue,ramus,Paris
20,rue des,rondeaux,Paris
27,rue de,citeaux,Paris
50,rue,crozatier,Paris
31,rue des,capucines,Paris
33,rue des,capucines,Paris
35,rue des,capucines,Paris
7,rue,petel,Paris
91,rue,julien-lacroix,Paris
114,square,albin-cachot,Paris
8,rue,sarrette,Paris
4,ruelle,lauzin,Paris
12,rue du,pressoir,Paris
15,passage des,saints-simoniens,Paris
7,rue,albert-samain,Paris
10,place de la,bourse,Paris
12,place de la,bourse,Paris
37,rue de,courcelles,Paris
189,rue de,courcelles,Paris
191,rue de,courcelles,Paris
1,villa,guibert,Paris
47,rue,le peletier,Paris
29,rue de,montreuil,Paris
80,rue de,richelieu,Paris
1,avenue de,verdun,Paris
79,rue d',auteuil,Paris
1,rue d',auteuil,Paris
2,rue d',auteuil,Paris
144,boulevard,exelmans,Paris
40,rue,jacob,Paris
32,avenue de,la bourdonnais,Paris
4,rue des,abbesses,Paris
135,rue de,meaux,Paris
203,rue du,temple,Paris
3,rue,simon-le-franc,Paris
8,rue de,la baume,Paris
256,rue,saint-honoré,Paris
28,rue du,bac,Paris
9,avenue,charles-floquet,Paris
2,rue du,général-lambert,Paris
27,rue de l',université,Paris
6,rue,moliere,Paris
78,rue,dutot,Paris
58,rue,ramey,Paris
64,rue des,cévennes,Paris
3,rue de l',abbaye,Paris
96,rue de,turenne,Paris
32,rue,coriolis,Paris
1,rue du,dessous-des-berges,Paris
5,rue du,dessous-des-berges,Paris
3,rue,le brun,Paris
50,rue,regnault,Paris
54,rue,monsieur-le-prince,Paris
212,rue de la,croix-nivert,Paris
41,villa,auguste-blanqui,Paris
30,rue,alphand,Paris
13,rue,barrault,Paris
11,rue,chaligny,Paris
366,rue,chaligny,Paris
1,rue,chaligny,Paris
12,rue,chaligny,Paris
14,rue,chaligny,Paris
33,rue,furtado-heine,Paris
31,rue de,terre-neuve,Paris
60,rue de la,tombe-issoire,Paris
73,rue,boissiere,Paris
75,rue,boissiere,Paris
36,rue des,fossés-saint-bernard,Paris
15,rue,lantiez,Paris
17,rue,lantiez,Paris
19,rue,lantiez,Paris
0,rue de l',abbé-gillet,Paris
3,villa,lantiez,Paris
5,villa,lantiez,Paris
61,rue,lhomond,Paris
63,rue,lhomond,Paris
12,rue,marguerin,Paris
110,rue,mouffetard,Paris
1,rue,nollet,Paris
103,rue,nollet,Paris
6,rue,bargue,Paris
5,rue de l',abbaye,Paris
83,rue,petit,Paris
83,rue,petit,Paris
5,passages des,postes,Paris
13,rue du,pré-saint-gervais,Paris
15,rue du,pré-saint-gervais,Paris
2,square,trudaine,Paris
1,square,trudaine,Paris
2,square,trudaine,Paris
3,square,trudaine,Paris
4,square,trudaine,Paris
275,rue de,belleville,Paris
30,avenue,bosquet,Paris
3,rue de,montholon,Paris
47,rue,bonaparte,Paris
67,rue de la,pompe,Paris
62,rue,marx-dormoy,Paris
89,rue,philippe-de-girard,Paris
8,rue de,vaucouleurs,Paris
9,impasse,gaudelet,Paris
10,petite impasse,gaudelet,Paris
11,avenue,jean-aicard,Paris
13,avenue,jean-aicard,Paris
15,avenue,jean-aicard,Paris
15,rue de,choiseul,Paris
38,rue,francois-1er,Paris
11,rue,pouchet,Paris
24,rue,chanez,Paris
122,boulevard,exelmans,Paris
41,boulevard,beaumarchais,Paris
54,rue des,tournelles,Paris
4,rue,budé,Paris
1,rue,charles-bossut,Paris
76,rue du,charolais,Paris
116,avenue de,suffren,Paris
55,rue de,cléry,Paris
16,rue de la,chaussee-d'antin,Paris
,,,Paris
36,rue,la bruyere,Paris
38,rue,la bruyere,Paris
9,avenue de,messine,Paris
8,rue de,teheran,Paris
10,rue de,teheran,Paris
102,rue de,grenelle,Paris
